epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.216,1.47852,2.35362,1.44405,0.5904,0.12194,0.16902,0.07839,1.54177,3.15903,1.58828,0.000651852,0.000651852,0.000651852
2,318.078,1.45037,1.85064,1.42483,0.17708,0.22886,0.13855,0.06824,1.83238,2.78852,1.7267,0.00127501,0.00127501,0.00127501
3,467.506,1.49638,1.80096,1.46264,0.28961,0.31841,0.16917,0.07762,1.96864,2.96187,1.9507,0.00185416,0.00185416,0.00185416
4,617.187,1.51866,1.70007,1.45193,0.43493,0.52736,0.44442,0.21532,1.72542,2.27686,1.81365,0.001802,0.001802,0.001802
5,777.985,1.46038,1.61821,1.44455,0.50352,0.57521,0.51359,0.26041,1.65876,1.85363,1.64822,0.001736,0.001736,0.001736
6,933.042,1.44364,1.51904,1.41771,0.53013,0.57817,0.5072,0.25456,1.67029,1.8014,1.61411,0.00167,0.00167,0.00167
7,1087.99,1.4325,1.45923,1.40941,0.60221,0.53731,0.5674,0.3006,1.60027,1.81879,1.55105,0.001604,0.001604,0.001604
8,1240.78,1.41149,1.39628,1.39153,0.67458,0.55224,0.63681,0.33833,1.56879,1.48253,1.50498,0.001538,0.001538,0.001538
9,1400.43,1.36727,1.38343,1.36793,0.66696,0.56793,0.62448,0.33741,1.5349,1.53611,1.47357,0.001472,0.001472,0.001472
10,1568.74,1.34884,1.30051,1.3574,0.68252,0.58209,0.67618,0.35321,1.52804,1.41017,1.46212,0.001406,0.001406,0.001406
11,1743.11,1.3091,1.24465,1.30296,0.69791,0.54229,0.61852,0.34353,1.51846,1.53375,1.46901,0.00134,0.00134,0.00134
12,1905.52,1.29684,1.20466,1.29835,0.60184,0.61692,0.58069,0.31327,1.58408,1.50783,1.51897,0.001274,0.001274,0.001274
13,2076.66,1.26772,1.16933,1.30379,0.6619,0.62189,0.66919,0.37859,1.4665,1.35205,1.43044,0.001208,0.001208,0.001208
14,2247.94,1.27359,1.16734,1.29068,0.56385,0.58209,0.59173,0.30963,1.6366,1.52399,1.50531,0.001142,0.001142,0.001142
15,2416.59,1.26612,1.14197,1.27893,0.63026,0.58706,0.6385,0.35876,1.49825,1.41162,1.41478,0.001076,0.001076,0.001076
16,2576.71,1.22358,1.04794,1.25808,0.72025,0.59204,0.6675,0.37807,1.49981,1.35646,1.42827,0.00101,0.00101,0.00101
17,2754.31,1.19228,1.04557,1.24538,0.66186,0.65672,0.67355,0.39611,1.40458,1.33947,1.36793,0.000944,0.000944,0.000944
18,2927.05,1.18903,1.01345,1.24035,0.64896,0.70647,0.70311,0.41371,1.43621,1.26072,1.38979,0.000878,0.000878,0.000878
19,3097.58,1.18104,1.00187,1.24232,0.62767,0.55356,0.60482,0.3434,1.46235,1.56749,1.46026,0.000812,0.000812,0.000812
20,3268.63,1.1441,0.96105,1.20903,0.6264,0.68159,0.68516,0.4011,1.45149,1.262,1.38006,0.000746,0.000746,0.000746
21,3439.35,1.155,0.93885,1.22868,0.6599,0.70469,0.66702,0.38193,1.43575,1.26373,1.39964,0.00068,0.00068,0.00068
22,3617.85,1.10335,0.83081,1.18697,0.62284,0.68159,0.65673,0.39139,1.43585,1.32661,1.39652,0.000614,0.000614,0.000614
23,3780.99,1.06109,0.80664,1.18991,0.64066,0.71144,0.74231,0.42183,1.40993,1.22351,1.38056,0.000548,0.000548,0.000548
