epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.057,1.48007,2.32877,1.41994,0.49516,0.19068,0.20606,0.09322,1.63197,3.11593,1.63831,0.000651852,0.000651852,0.000651852
2,1493.2,1.4828,1.9348,1.46213,0.07178,0.37703,0.05079,0.02428,1.72142,3.6621,1.80707,0.00127501,0.00127501,0.00127501
3,2213.3,1.49876,1.79074,1.45707,0.04611,0.46533,0.03494,0.01517,1.96909,10.2277,2.02611,0.00185416,0.00185416,0.00185416
4,2885.71,1.51159,1.7252,1.47903,0.58091,0.54009,0.56205,0.2989,1.60803,2.05929,1.63301,0.001802,0.001802,0.001802
5,3528.11,1.48147,1.59653,1.45241,0.57757,0.36959,0.42178,0.21531,1.83612,2.32139,2.01319,0.001736,0.001736,0.001736
6,4185.22,1.43137,1.5377,1.40906,0.59893,0.55309,0.57127,0.3173,1.57658,2.18858,1.6006,0.00167,0.00167,0.00167
7,4863.76,1.46606,1.50757,1.44101,0.64568,0.60618,0.65887,0.33908,1.61965,1.66776,1.57477,0.001604,0.001604,0.001604
8,8582.76,1.40382,1.43482,1.39288,0.66938,0.6571,0.70584,0.41558,1.44582,1.43021,1.45057,0.001538,0.001538,0.001538
9,9245.27,1.3632,1.34235,1.36567,0.7316,0.70876,0.77856,0.46119,1.39103,1.22582,1.44078,0.001472,0.001472,0.001472
10,9877.68,1.36129,1.28171,1.3475,0.77529,0.73131,0.81186,0.48966,1.32588,1.22173,1.36015,0.001406,0.001406,0.001406
11,10516.5,1.3316,1.26732,1.32172,0.77865,0.76002,0.82232,0.50177,1.32119,1.15971,1.35232,0.00134,0.00134,0.00134
12,11155.9,1.27232,1.17317,1.29251,0.8117,0.74959,0.83757,0.5189,1.29593,1.10547,1.32249,0.001274,0.001274,0.001274
13,11795.9,1.28179,1.15416,1.29726,0.78955,0.76417,0.84133,0.51751,1.28359,1.11648,1.32274,0.001208,0.001208,0.001208
14,12423.3,1.26914,1.12543,1.29752,0.79192,0.76056,0.83095,0.52311,1.27959,1.08655,1.33559,0.001142,0.001142,0.001142
15,13046.1,1.28066,1.14306,1.2944,0.80488,0.80891,0.86566,0.54672,1.23358,1.00901,1.27168,0.001076,0.001076,0.001076
16,13663.5,1.25009,1.0915,1.28844,0.85161,0.81257,0.89849,0.59154,1.18377,0.90955,1.24668,0.00101,0.00101,0.00101
17,14277.4,1.20921,1.04616,1.24646,0.84586,0.79965,0.88854,0.59596,1.17197,0.90179,1.24519,0.000944,0.000944,0.000944
18,14935.4,1.18612,1.0086,1.23456,0.8587,0.81636,0.88661,0.5864,1.17699,0.9056,1.22823,0.000878,0.000878,0.000878
19,15586.4,1.17951,1.00625,1.244,0.85131,0.79469,0.88193,0.5778,1.14652,0.91326,1.20749,0.000812,0.000812,0.000812
20,16241.2,1.1637,0.9593,1.21025,0.87435,0.84442,0.91909,0.62828,1.102,0.81741,1.17713,0.000746,0.000746,0.000746
21,16856.7,1.13925,0.92969,1.23117,0.87482,0.85176,0.92003,0.63207,1.07561,0.836,1.16992,0.00068,0.00068,0.00068
22,17454.5,1.11214,0.84702,1.21219,0.87734,0.85241,0.92427,0.64132,1.07974,0.80687,1.16048,0.000614,0.000614,0.000614
23,18054.9,1.06014,0.80535,1.16108,0.91056,0.86945,0.94118,0.67183,1.00095,0.72261,1.10069,0.000548,0.000548,0.000548
24,18656.9,1.03789,0.75727,1.14457,0.92511,0.91603,0.96322,0.69717,0.97319,0.67361,1.09306,0.000482,0.000482,0.000482
25,19273.8,1.03072,0.73087,1.1412,0.92338,0.90742,0.96191,0.69343,1.00155,0.66134,1.09861,0.000416,0.000416,0.000416
26,19876.3,1.00101,0.72198,1.1269,0.92819,0.92091,0.97009,0.71703,0.93152,0.6221,1.06897,0.00035,0.00035,0.00035
27,20481.7,0.98019,0.69724,1.13084,0.92708,0.93174,0.97195,0.72403,0.92958,0.59426,1.06264,0.000284,0.000284,0.000284
28,21083.7,0.96237,0.65975,1.10896,0.94039,0.94258,0.97803,0.74078,0.88975,0.57058,1.03916,0.000218,0.000218,0.000218
29,21726.8,0.92626,0.64199,1.09158,0.95032,0.94303,0.97887,0.74641,0.87613,0.55839,1.02849,0.000152,0.000152,0.000152
30,22347.4,0.92307,0.63354,1.08122,0.96114,0.9377,0.98262,0.75621,0.84945,0.53692,1.01767,8.6e-05,8.6e-05,8.6e-05
